Instrument,IGEpic,IGCurrency,IGMultiplier,IGInverse,IGPeriods,IGMargin,BarchartCode
GBPCHF_fsb,CF.D.GBPCHF,GBP,10000.0,False,MAR|JUN|SEP|DEC,0.033,SS
GBPJPY,,,,,na,,UR
GBPJPY_fsb,CF.D.GBPJPY,GBP,100.0,False,MAR|JUN|SEP|DEC,0.033,UR
GILT,,,,,na,,G
GILT_fsb,IR.D.FLG,GBP,100.0,False,Month1|Month2,0.2,G
GOLD,,,,,na,,GC
GOLD_fsb,MT.D.GC,GBP,1.0,False,Month2|Month3|Month1,0.05,GC
HEATOIL,,,,,na,,HO
HEATOIL_fsb,EN.D.HO,GBP,10000.0,False,Month1|Month2,0.1,HO
HANG,,,,,na,,HS
HANG_fsb,IX.D.HANGSENG,GBP,1.0,False,NEAR|FAR|VFAR,0.1,HS
IBEX,,,,,na,,EF
IBEX_fsb,IX.D.IBEX,GBP,1.0,False,Month1|Month2,0.1,EF
IBXEX,,,,,na,,EF
IBXEX_fsb,IX.D.IBEX,GBP,1.0,False,Month1|Month2,0.1,EF
JGB,,,,,na,,JX
JGB_fsb,IR.D.JGB,GBP,100.0,False,Month1|Month2|Month3,0.2,JX
JPY,,,,,na,,J6
JPY_fsb,CF.D.USDJPY,GBP,100.0,True,MAR|JUN|SEP|DEC,0.033,J6
JSE40,,,,,na,,LX
JSE40_fsb,IX.D.SAF,GBP,1.0,False,MONTH1|MONTH2,0.1,LX
LEANHOG,,,,,na,,HE
LEANHOG_fsb,CO.D.LH,GBP,100.0,False,Month1|Month2,0.1,HE
LIVECOW,,,,,na,,LE
LIVECOW_fsb,CO.D.LC,GBP,100.0,False,Month1|Month2,0.1,LE
LUMBER-new,,,,,na,,LB
LUMBER-new_fsb,CO.D.LXR,GBP,100.0,False,Month1|Month2,0.1,LB
MSCISING,,,,,na,,SV
MSCISING_fsb,IX.D.SINGAPORE,GBP,1.0,False,MONTH1|MONTH2,0.1,SV
NASDAQ,,,,,na,,NQ
NASDAQ_fsb,IX.D.NASDAQ,GBP,1.0,False,MONTH3|MONTH4,0.05,NQ
NIKKEI,,,,,na,,NY
NIKKEI_fsb,IX.D.NIKFUT,GBP,1.0,False,FAR|FAR3,0.05,NY
NOK,,,,,na,,NR
NOK_fsb,CF.D.USDNOK,GBP,10000.0,True,MAR|JUN|SEP|DEC,0.05,NR
NZD,,,,,na,,N6
NZD_fsb,CF.D.NZDUSD,GBP,10000.0,False,MAR|JUN|SEP|DEC,0.05,N6
OAT,,,,,na,,FN
OAT_fsb,IR.D.FOAT,GBP,100.0,False,Month1|Month2,0.2,FN
OATIES,,,,,na,,ZO
OATIES_fsb,CO.D.O,GBP,1.0,False,Month1|Month2,0.1,ZO
OJ,,,,,na,,OJ
OJ_fsb,CO.D.OJ,GBP,100.0,False,Month1|Month2,0.1,OJ
OMXS30,,,,,na,,OX
OMXS30_fsb,IX.D.OMX,GBP,1.0,False,MONTH1|MONTH2,0.1,OX
OMX-SWE,,,,,na,,OX
OMX-SWE_fsb,IX.D.OMX,GBP,1.0,False,MONTH1|MONTH2,0.1,OX
PALLAD,,,,,na,,PA
PALLAD_fsb,MT.D.PA,GBP,1.0,False,Month1|Month2,0.1,PA
PLAT,,,,,na,,PL
PLAT_fsb,MT.D.PL,GBP,1.0,False,Month1|Month2,0.1,PL
