Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,76.94000244140625,77.0999984741211,75.76000213623047,76.05000305175781,66.92305755615234,1460900
2020-01-03,75.83999633789062,76.55000305175781,75.83999633789062,76.08000183105469,66.949462890625,1239900
2020-01-06,76.08000183105469,76.38999938964844,75.91000366210938,76.1500015258789,67.01105499267578,1381600
2020-01-07,75.87999725341797,76.44000244140625,75.54000091552734,76.43000030517578,67.2574462890625,1227200
2020-01-08,76.80999755859375,76.80999755859375,76.19000244140625,76.30000305175781,67.14305877685547,1034700
2020-01-09,76.23999786376953,76.68000030517578,76.06999969482422,76.58999633789062,67.39826202392578,1460700
2020-01-10,76.80000305175781,77.30000305175781,76.69999694824219,77.01000213623047,67.76783752441406,1073900
2020-01-13,77.0199966430664,77.76000213623047,77.0199966430664,77.62999725341797,68.31343078613281,1280800
2020-01-14,77.58999633789062,77.87000274658203,77.11000061035156,77.61000061035156,68.29582977294922,1439700
2020-01-15,77.80000305175781,78.33000183105469,77.58000183105469,78.19999694824219,68.81504821777344,1732400
2020-01-16,78.69999694824219,79.30000305175781,78.69999694824219,79.20999908447266,69.70381164550781,2065900
2020-01-17,79.23999786376953,79.9000015258789,79.16000366210938,79.75,70.17902374267578,1552800
2020-01-21,79.75,80.05999755859375,79.36000061035156,80.02999877929688,70.42539978027344,1732700
2020-01-22,80.13999938964844,80.44000244140625,79.87999725341797,79.91000366210938,70.31982421875,2366300
2020-01-23,79.94000244140625,80.36000061035156,79.69000244140625,80.30000305175781,70.66300964355469,1269800
2020-01-24,80.25,80.83000183105469,80.02999877929688,80.38999938964844,70.74220275878906,1185800
2020-01-27,80.33000183105469,80.83999633789062,79.75,80.11000061035156,70.49581146240234,1774800
2020-01-28,80.19999694824219,80.66999816894531,79.97000122070312,80.31999969482422,70.68061065673828,1350700
2020-01-29,80.7300033569336,81.06999969482422,80.44000244140625,81.0199966430664,71.2966079711914,1493400
2020-01-30,80.97000122070312,81.94000244140625,80.7699966430664,81.9000015258789,72.07098388671875,1086100
2020-01-31,81.80999755859375,82.41000366210938,81.61000061035156,82.05000305175781,72.20296478271484,2038400
2020-02-03,82.2300033569336,82.70999908447266,82.08000183105469,82.62999725341797,72.71337890625,1105700
2020-02-04,82.6500015258789,83.0199966430664,82.11000061035156,82.2699966430664,72.39659118652344,1595500
2020-02-05,82.11000061035156,82.73999786376953,81.94000244140625,82.68000030517578,72.75736236572266,1071200
2020-02-06,82.72000122070312,83.3499984741211,82.56999969482422,83.16999816894531,73.18856048583984,1388300
2020-02-07,83.44999694824219,83.76000213623047,83.2699966430664,83.5999984741211,73.56697082519531,1597900
2020-02-10,83.75,84.02999877929688,83.25,83.9800033569336,73.90135192871094,1220500
2020-02-11,84.16000366210938,84.4800033569336,83.87000274658203,84.2699966430664,74.15654754638672,1498100
2020-02-12,83.95999908447266,84.73999786376953,83.80000305175781,84.56999969482422,74.42056274414062,1155400
2020-02-13,84.56999969482422,85.8499984741211,84.37000274658203,85.75,75.45893859863281,1069600
2020-02-14,86.0,86.87000274658203,85.80000305175781,86.79000091552734,76.3741226196289,1754300
2020-02-18,87.16000366210938,87.33000183105469,86.5,86.75,76.33891296386719,2305800
2020-02-19,86.63999938964844,86.70999908447266,85.7699966430664,85.87999725341797,75.57334899902344,1598600
2020-02-20,85.55000305175781,85.91999816894531,85.0999984741211,85.66000366210938,75.37973022460938,1999000
2020-02-21,85.66000366210938,86.41999816894531,85.2300033569336,85.33999633789062,75.09813690185547,2212900
2020-02-24,85.0,85.62000274658203,84.54000091552734,84.81999969482422,74.64056396484375,1700500
