Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,6.891020774841309,6.903019905090332,6.7123799324035645,6.7430419921875,4.859454154968262,6604688
2020-01-03,6.720378875732422,6.8803558349609375,6.704380989074707,6.849693775177002,4.936314105987549,8263173
2020-01-06,6.839028835296631,6.912352085113525,6.793702125549316,6.892354965209961,4.9670586585998535,16151293
2020-01-07,6.860359191894531,6.893688201904297,6.784369945526123,6.803033828735352,4.902688026428223,11877936
2020-01-08,6.808366775512695,6.87235689163208,6.79903507232666,6.833695888519287,4.9247846603393555,9504599
2020-01-09,6.827031135559082,6.867024898529053,6.789702892303467,6.803033828735352,4.902688026428223,6985742
2020-01-10,6.827031135559082,6.876357078552246,6.7923688888549805,6.868358135223389,4.949765205383301,5659554
2020-01-13,6.8843560218811035,6.937682151794434,6.859025955200195,6.9190168380737305,4.986272811889648,8804000
2020-01-14,6.895020961761475,6.895020961761475,6.793702125549316,6.8456950187683105,4.933432102203369,7534820
2020-01-15,6.87235689163208,6.9736762046813965,6.871024131774902,6.951013088226318,5.009330749511719,7526569
2020-01-16,6.964344024658203,7.017670154571533,6.92568302154541,7.016336917877197,5.056407928466797,4115834
2020-01-17,7.012338161468506,7.052331924438477,6.989674091339111,7.032334804534912,5.067936420440674,5445773
2020-01-21,7.046998977661133,7.10832405090332,7.029667854309082,7.105658054351807,5.120777606964111,7372047
2020-01-22,7.132320880889893,7.148317813873291,7.050999164581299,7.065662860870361,5.091955184936523,7760602
2020-01-23,7.082993984222412,7.177647113800049,7.039000034332275,7.173647880554199,5.169775485992432,5941594
2020-01-24,7.185646057128906,7.216309070587158,7.156317234039307,7.201643943786621,5.189951419830322,6580684
2020-01-27,7.173647880554199,7.217641830444336,7.132320880889893,7.142985820770264,5.147677898406982,10431731
2020-01-28,7.098991870880127,7.1603169441223145,7.086994171142578,7.100325107574463,5.116934776306152,7632334
2020-01-29,7.130987167358398,7.149651050567627,7.066996097564697,7.072329044342041,5.0967583656311035,5088722
2020-01-30,7.060330867767334,7.122989177703857,7.033668041229248,7.088326930999756,5.108288288116455,13835714
