===============================================================================
Id,2006-day-001,len,datetime,open,high,low,close,volume,openinterest,Strategy,len,datetime
25,2006-day-001,25,2006-02-03 23:59:59.999989,3677.05,3696.0,3652.76,3678.48,0.0,0.0,Strategy,25,732345.9999999999
26,2006-day-001,26,2006-02-06 23:59:59.999989,3678.87,3704.17,3672.53,3682.32,0.0,0.0,Strategy,26,732348.9999999999
27,2006-day-001,27,2006-02-07 23:59:59.999989,3682.97,3698.63,3656.2,3680.8,0.0,0.0,Strategy,27,732349.9999999999
28,2006-day-001,28,2006-02-08 23:59:59.999989,3680.05,3680.05,3637.93,3671.37,0.0,0.0,Strategy,28,732350.9999999999
29,2006-day-001,29,2006-02-09 23:59:59.999989,3672.34,3726.81,3672.34,3726.81,0.0,0.0,Strategy,29,732351.9999999999
30,2006-day-001,30,2006-02-10 23:59:59.999989,3725.18,3735.14,3692.63,3695.63,0.0,0.0,Strategy,30,732352.9999999999
31,2006-day-001,31,2006-02-13 23:59:59.999989,3696.09,3727.46,3684.83,3727.46,0.0,0.0,Strategy,31,732355.9999999999
32,2006-day-001,32,2006-02-14 23:59:59.999989,3728.16,3744.66,3707.25,3734.48,0.0,0.0,Strategy,32,732356.9999999999
33,2006-day-001,33,2006-02-15 23:59:59.999989,3733.97,3749.36,3720.41,3729.79,0.0,0.0,Strategy,33,732357.9999999999
34,2006-day-001,34,2006-02-16 23:59:59.999989,3730.82,3756.47,3730.82,3756.47,0.0,0.0,Strategy,34,732358.9999999999
35,2006-day-001,35,2006-02-17 23:59:59.999989,3757.34,3777.16,3749.94,3767.7,0.0,0.0,Strategy,35,732359.9999999999
36,2006-day-001,36,2006-02-20 23:59:59.999989,3767.11,3769.16,3749.88,3766.74,0.0,0.0,Strategy,36,732362.9999999999
37,2006-day-001,37,2006-02-21 23:59:59.999989,3767.21,3800.78,3767.21,3779.51,0.0,0.0,Strategy,37,732363.9999999999
38,2006-day-001,38,2006-02-22 23:59:59.999989,3778.02,3818.48,3771.06,3818.48,0.0,0.0,Strategy,38,732364.9999999999
39,2006-day-001,39,2006-02-23 23:59:59.999989,3819.56,3831.16,3796.21,3813.29,0.0,0.0,Strategy,39,732365.9999999999
40,2006-day-001,40,2006-02-24 23:59:59.999989,3812.76,3826.0,3805.55,3826.0,0.0,0.0,Strategy,40,732366.9999999999
41,2006-day-001,41,2006-02-27 23:59:59.999989,3828.99,3840.56,3819.65,3840.56,0.0,0.0,Strategy,41,732369.9999999999
42,2006-day-001,42,2006-02-28 23:59:59.999989,3840.31,3840.31,3769.25,3774.51,0.0,0.0,Strategy,42,732370.9999999999
43,2006-day-001,43,2006-03-01 23:59:59.999989,3775.23,3806.34,3772.49,3806.03,0.0,0.0,Strategy,43,732371.9999999999
44,2006-day-001,44,2006-03-02 23:59:59.999989,3807.3,3820.55,3745.46,3763.73,0.0,0.0,Strategy,44,732372.9999999999
45,2006-day-001,45,2006-03-03 23:59:59.999989,3763.95,3774.03,3715.35,3733.95,0.0,0.0,Strategy,45,732373.9999999999
46,2006-day-001,46,2006-03-06 23:59:59.999989,3737.58,3766.47,3737.58,3754.07,0.0,0.0,Strategy,46,732376.9999999999
47,2006-day-001,47,2006-03-07 23:59:59.999989,3751.3,3751.3,3719.92,3745.2,0.0,0.0,Strategy,47,732377.9999999999
