===============================================================================
Id,2006-01-02-volume-min-001,len,datetime,open,high,low,close,volume,openinterest,Strategy,len,datetime
82,2006-01-02-volume-min-001,82,2006-01-02 10:22:00,3613.0,3614.0,3613.0,3614.0,580.0,0.0,Strategy,82,732313.4319444444
83,2006-01-02-volume-min-001,83,2006-01-02 10:23:00,3615.0,3615.0,3615.0,3615.0,4.0,0.0,Strategy,83,732313.432638889
84,2006-01-02-volume-min-001,84,2006-01-02 10:24:00,3614.0,3615.0,3614.0,3615.0,14.0,0.0,Strategy,84,732313.4333333333
85,2006-01-02-volume-min-001,85,2006-01-02 10:25:00,3614.0,3615.0,3613.0,3613.0,856.0,0.0,Strategy,85,732313.4340277778
86,2006-01-02-volume-min-001,86,2006-01-02 10:26:00,3614.0,3614.0,3614.0,3614.0,47.0,0.0,Strategy,86,732313.4347222223
87,2006-01-02-volume-min-001,87,2006-01-02 10:27:00,3614.0,3614.0,3613.0,3614.0,28.0,0.0,Strategy,87,732313.4354166667
88,2006-01-02-volume-min-001,88,2006-01-02 10:28:00,3614.0,3614.0,3614.0,3614.0,25.0,0.0,Strategy,88,732313.4361111111
89,2006-01-02-volume-min-001,89,2006-01-02 10:29:00,3613.0,3614.0,3613.0,3614.0,214.0,0.0,Strategy,89,732313.4368055556
90,2006-01-02-volume-min-001,90,2006-01-02 10:30:00,3613.0,3614.0,3613.0,3614.0,112.0,0.0,Strategy,90,732313.4375
91,2006-01-02-volume-min-001,91,2006-01-02 10:31:00,3614.0,3614.0,3614.0,3614.0,183.0,0.0,Strategy,91,732313.4381944444
92,2006-01-02-volume-min-001,92,2006-01-02 10:34:00,3614.0,3614.0,3614.0,3614.0,841.0,0.0,Strategy,92,732313.4402777777
93,2006-01-02-volume-min-001,93,2006-01-02 10:35:00,3614.0,3614.0,3614.0,3614.0,17.0,0.0,Strategy,93,732313.4409722222
94,2006-01-02-volume-min-001,94,2006-01-02 10:36:00,3615.0,3615.0,3615.0,3615.0,2.0,0.0,Strategy,94,732313.4416666667
95,2006-01-02-volume-min-001,95,2006-01-02 10:37:00,3615.0,3615.0,3615.0,3615.0,2.0,0.0,Strategy,95,732313.442361111
